epoch,loss,lr,psnr,ssim
0,1794.8824974125266,0.1,10.970176,0.054741252
1,1364.4911304737354,0.1,12.150211,0.100309946
2,1330.0599200536335,0.1,12.301846,0.11808095
3,1265.651899274763,0.1,12.508475,0.12054836
4,1150.769006435373,0.1,12.906611,0.12277994
5,1084.0450361686324,0.1,13.157328,0.12589246
6,1083.258213483433,0.1,13.164718,0.1299375
7,1035.3127759412243,0.1,13.351737,0.13005796
8,1043.5308095571156,0.1,13.310956,0.13170058
9,1022.6732673759575,0.1,13.397859,0.13463467
10,1046.1065426911985,0.1,13.31524,0.13613282
11,990.6437668998781,0.1,13.536512,0.13752164
12,965.1456681050645,0.1,13.659245,0.13933945
13,980.2722019472126,0.1,13.600113,0.14036612
14,923.1465128633098,0.1,13.8518915,0.14393581
15,948.4312790813798,0.1,13.731798,0.14475496
16,932.6502507036718,0.1,13.818107,0.14584076
17,898.8618118477605,0.1,13.969065,0.14958778
18,889.1270536867041,0.1,14.002339,0.15063374
19,900.383914880413,0.1,13.953766,0.15394738
20,882.6772400975892,0.1,14.044984,0.15363675
21,873.5163540834012,0.1,14.071791,0.15578264
22,863.8983937463552,0.1,14.14087,0.16066512
23,869.0221738794851,0.1,14.121895,0.16066895
24,849.8410345574194,0.1,14.207841,0.1636338
25,830.6038669306339,0.1,14.326156,0.16649157
26,813.3420292589605,0.1,14.407753,0.16882217
27,818.2133119534853,0.1,14.376126,0.17013775
28,808.1750866117932,0.1,14.423922,0.17244512
29,796.6962035844788,0.1,14.5000105,0.17666525
30,796.8266138398355,0.1,14.498902,0.17724584
31,786.0629073068953,0.1,14.554418,0.18041167
32,781.9454149191392,0.1,14.594276,0.1838697
33,776.9257067758502,0.1,14.602919,0.18571171
34,759.8302014456036,0.1,14.704511,0.18781778
35,769.1717132673095,0.1,14.664126,0.19070216
36,761.5944166408491,0.1,14.692677,0.19055134
37,753.9420654872926,0.1,14.755414,0.19384348
38,746.8648209933915,0.1,14.769374,0.19485614
39,747.6122878314803,0.1,14.770629,0.19900377
40,739.4705537708468,0.1,14.822491,0.20098738
41,748.0032728760604,0.1,14.778364,0.2002957
42,735.0276825330841,0.1,14.858336,0.20430163
43,722.0022867432688,0.1,14.93038,0.2048346
44,723.7778222776697,0.1,14.928462,0.20869227
45,704.8802578343899,0.1,15.040229,0.21112387
46,703.8961568969046,0.1,15.057915,0.21333462
47,707.1814282276966,0.1,15.006435,0.21237504
48,697.7686354229247,0.1,15.092055,0.21637534
49,705.8461081113287,0.1,15.032257,0.21655025
50,679.8252808952577,0.1,15.211015,0.22244641
51,684.5757300787246,0.1,15.148721,0.22226697
52,674.6058777310418,0.1,15.234988,0.22437803
53,680.193955109284,0.1,15.19328,0.22750117
