epoch,loss,psnr,ssim
0,1964.0927228357039,10.578199,0.044790804
1,1478.3903698031354,11.828022,0.085521005
2,1294.9765139284793,12.384412,0.108482644
3,1276.6673961559216,12.461151,0.11845867
4,1238.2094950109324,12.580833,0.11992936
5,1173.1419358811936,12.813962,0.1229445
6,1120.101713487387,13.006328,0.124796316
7,1096.6047460784323,13.09327,0.12721542
8,1120.9303847173414,13.017312,0.12993777
9,1107.6376575091938,13.059063,0.13011979
10,1085.9008207906218,13.163808,0.13113368
11,1009.1977034298354,13.447443,0.13387851
12,1017.9433653678877,13.436185,0.13586196
13,997.931263662213,13.494137,0.13728279
14,1002.6666539804662,13.493991,0.13851188
15,978.3994795751388,13.605835,0.14183778
16,982.0631594205813,13.574713,0.14276709
17,947.2721040742891,13.7431135,0.14417864
18,942.9990304286569,13.753515,0.14765799
19,920.1284756457944,13.874182,0.15031442
20,906.5554180169811,13.913314,0.14983542
21,892.1478028888613,14.003522,0.15550673
22,885.0512786269546,14.021451,0.15631874
23,878.03986487272,14.070627,0.15834466
24,855.7120070815445,14.18607,0.16325185
25,864.450746992022,14.143493,0.16324149
26,847.9574723998552,14.224399,0.16521904
27,846.6107012545382,14.218983,0.16808285
28,829.2539662983427,14.324591,0.17182136
29,820.754038381556,14.367039,0.17392774
30,807.7408239036505,14.432365,0.17764862
31,799.9160097695787,14.494912,0.17982018
32,789.8201111016587,14.527975,0.18102019
33,783.4990775044105,14.57172,0.18530634
34,772.8300388422916,14.622935,0.18668859
35,785.0162609399822,14.577142,0.18875968
36,748.3933214591021,14.765162,0.191209
37,773.2377270797147,14.637887,0.19256182
38,750.7066873217386,14.76376,0.19521555
39,724.1290498894716,14.927923,0.20148358
40,749.1610609960372,14.765766,0.19831258
41,730.6590453302947,14.891568,0.20196849
42,718.5895337563428,14.962199,0.20515236
43,731.7797586612055,14.871762,0.20531757
44,722.6004227581376,14.930274,0.20953396
45,702.1275372531782,15.048993,0.20805013
46,703.9627663519494,15.0289755,0.21202244
47,699.5773969639631,15.081098,0.21532561
48,702.6322176887057,15.059023,0.21412322
49,687.4623744118526,15.142195,0.21762104
50,696.3944172247548,15.072054,0.21858683
51,699.1496890283664,15.074445,0.2195669
52,680.3751973758077,15.209287,0.2216709
53,680.2672507025458,15.1752615,0.2235966
54,679.9488208922947,15.22504,0.22525981
55,674.4402681904666,15.219419,0.22648846
56,662.576053552288,15.311402,0.23119174
57,662.3985475387148,15.302405,0.23064397
58,680.6461458995791,15.215501,0.2326889
59,663.8860181418165,15.308064,0.23361503
60,656.6239813007238,15.347899,0.23631647
61,649.4338871723896,15.4002905,0.23943225
62,642.1814531566042,15.4546585,0.24105051
63,662.5161705229835,15.310074,0.23890948
64,640.3261299967919,15.460562,0.24425672
65,630.2709117481915,15.537467,0.24692497
66,628.5596984706176,15.56427,0.25079808
67,633.3590276318014,15.525723,0.24998568
68,629.0320192334582,15.5509,0.25187173
69,626.6854688398115,15.555285,0.25433862
70,621.518940870366,15.606524,0.25735837
71,618.2641876822937,15.63415,0.25860262
72,604.2738445712383,15.733778,0.26320314
73,609.4170140348652,15.699921,0.26087818
74,606.9720940477395,15.718836,0.26598263
75,598.3675502824558,15.765339,0.26588756
76,610.3262250385587,15.692715,0.2648944
77,601.8197796697629,15.747723,0.27016273
78,594.4194035753064,15.804331,0.27209222
79,608.6940484245363,15.713195,0.26800635
80,597.7352867813797,15.787062,0.26960528
81,590.7928834945436,15.8363695,0.27578002
82,583.293183616792,15.866977,0.27474627
83,586.5180648155655,15.874777,0.27544588
84,586.1570624928779,15.868444,0.2757429
85,581.7330851315531,15.909999,0.28177187
86,584.4185518504519,15.876314,0.2794079
87,572.4291873311648,15.960636,0.2830559
88,585.4065756910301,15.8860235,0.28134578
89,580.3810335696894,15.898528,0.28210583
90,569.1104264621415,16.009611,0.2876092
91,569.472145105114,15.993701,0.28553748
92,559.2175297518239,16.069181,0.2896463
93,573.0721042850712,15.969385,0.28703508
94,561.4194538234284,16.062628,0.290451
95,560.6575701192744,16.064358,0.28990123
96,564.2197984084199,16.05123,0.29484415
97,556.1869119114755,16.095509,0.29314995
98,560.1039497836983,16.054626,0.29271573
99,556.28800317608,16.106041,0.2962626
100,554.8181122166566,16.11652,0.29721826
101,557.4923755436279,16.097092,0.2954669
102,548.2786465010281,16.173073,0.29765043
103,553.4488793335877,16.129852,0.2967102
104,543.9783482169041,16.20467,0.29895005
105,542.9642046941088,16.220898,0.30106026
