epoch,loss,psnr,ssim
0,9576.314453125,13.366203,0.029829124
1,7063.12548828125,14.67278,0.21804549
2,6861.611328125,14.80936,0.21545635
3,6854.93310546875,14.816411,0.21505749
4,6843.236328125,14.825957,0.21632242
5,6830.0498046875,14.836166,0.2181611
6,6823.58251953125,14.842092,0.21984051
7,6815.83203125,14.848702,0.2205358
8,6803.81103515625,14.857864,0.22080135
9,6800.08056640625,14.8617525,0.22032297
10,6795.15869140625,14.8663225,0.22037208
11,6788.68359375,14.871854,0.22085059
12,6780.92822265625,14.878204,0.22166592
13,6772.1005859375,14.885257,0.22275572
14,6763.0419921875,14.892491,0.22403438
15,6758.8427734375,14.896622,0.22470057
16,6752.2412109375,14.902191,0.22519247
17,6744.4033203125,14.908467,0.22550352
18,6740.134765625,14.912419,0.22542912
19,6735.12646484375,14.9169,0.22566982
20,6728.7109375,14.922348,0.22623378
21,6720.99169921875,14.928711,0.22708814
22,6714.99169921875,14.934074,0.22802241
23,6710.2138671875,14.938554,0.22863849
24,6703.771484375,14.944022,0.22909182
25,6696.07470703125,14.950208,0.22940473
26,6691.248046875,14.954448,0.22940046
27,6686.19384765625,14.958959,0.2296785
28,6679.4638671875,14.964686,0.23030263
29,6671.1396484375,14.971595,0.23125069
30,6667.35546875,14.975674,0.23213236
31,6662.8251953125,14.980071,0.23280923
32,6656.2822265625,14.985673,0.23330371
33,6648.07763671875,14.992249,0.23363681
34,6639.8759765625,14.99866,0.23381416
35,6634.7138671875,15.003255,0.23410805
36,6627.4443359375,15.009453,0.23480833
37,6621.625,15.014899,0.23567148
38,6615.93994140625,15.020091,0.23631968
39,6608.9775390625,15.025983,0.23682182
40,6601.1083984375,15.03233,0.23719834
41,6596.40673828125,15.036407,0.23725724
42,6590.265625,15.04174,0.23773058
43,6581.5751953125,15.049091,0.23866461
44,6575.8134765625,15.054738,0.23969948
45,6570.615234375,15.059749,0.2404807
46,6563.76611328125,15.065666,0.24107872
47,6555.42041015625,15.072398,0.24150765
48,6546.5654296875,15.079257,0.24180953
49,6543.5712890625,15.081914,0.24166036
50,6537.7109375,15.086965,0.24207647
51,6528.5556640625,15.094734,0.24305367
52,6518.8427734375,15.103317,0.24439387
53,6513.3095703125,15.108722,0.24529122
54,6506.6376953125,15.114639,0.24601336
55,6498.5625,15.121276,0.24656205
56,6489.71337890625,15.1282,0.24696939
57,6484.005859375,15.132686,0.24708386
58,6476.689453125,15.138893,0.2477294
59,6467.0830078125,15.147312,0.24891853
60,6460.33154296875,15.153455,0.24976921
61,6452.8232421875,15.159873,0.25048068
62,6444.5693359375,15.166572,0.25106174
63,6436.49462890625,15.172914,0.25151446
64,6428.75,15.179734,0.25239956
65,6421.041015625,15.186305,0.2531499
66,6412.88427734375,15.192979,0.25379977
67,6405.71337890625,15.198745,0.25429025
68,6397.20166015625,15.206314,0.25534645
69,6389.578125,15.212967,0.25620434
70,6381.3671875,15.219775,0.25693828
71,6372.7041015625,15.226665,0.25756273
72,6365.419921875,15.23233,0.25801554
73,6356.21826171875,15.240405,0.25911945
74,6348.24609375,15.24731,0.2600207
75,6339.8125,15.254285,0.26080832
76,6330.98876953125,15.261304,0.26149404
77,6322.80859375,15.267636,0.26206112
78,6314.16845703125,15.275452,0.263227
79,6306.10546875,15.282506,0.26421887
80,6297.4267578125,15.28968,0.26506692
81,6288.16357421875,15.296971,0.26578104
82,6278.7529296875,15.304112,0.2664021
83,6272.2998046875,15.308831,0.26679263
84,6260.912109375,15.318746,0.26814356
85,6252.31787109375,15.326271,0.26922312
86,6243.4365234375,15.3337145,0.27018833
87,6234.10546875,15.341197,0.27103567
88,6224.505859375,15.348621,0.27178574
89,6214.947265625,15.355839,0.27248535
